gender,nom,prenom,tel,email,status,license
Mme,Durand,Sophie,0611111111,durand.sophie@toto.com,Sans Emploi,B A
M.,Martin,Julien,0611111111,martin.julien@toto.com,Inconnu,B A
Mme,Petit,Camille,0611111111,petit.camille@toto.com,Sans Emploi,B A
M.,Robert,Lucas,0611111111,robert.lucas@toto.com,Sous contrat,B A
Mme,Moreau,Chloé,0611111111,moreau.chloé@toto.com,Sans Emploi,B A
M.,Garcia,Thomas,0611111111,garcia.thomas@toto.com,Inconnu,B A
Mme,Bernard,Élodie,0611111111,bernard.élodie@toto.com,Sous contrat,B A
M.,Lemoine,Antoine,0611111111,lemoine.antoine@toto.com,Sans Emploi,B A
Mme,Faure,Claire,0611111111,faure.claire@toto.com,Inconnu,B A
M.,Andre,Matthieu,0611111111,andre.matthieu@toto.com,Sous contrat,B A
Mme,Mercier,Nathalie,0611111111,mercier.nathalie@toto.com,Sans Emploi,B A
M.,Fernandez,Kevin,0611111111,fernandez.kevin@toto.com,Sans Emploi,B A
Mme,Leroy,Lucie,0611111111,leroy.lucie@toto.com,Inconnu,B A
M.,Lopez,Enzo,0611111111,lopez.enzo@toto.com,Sans Emploi,B A
Mme,Roux,Manon,0611111111,roux.manon@toto.com,Sous contrat,B A
M.,Blanc,Hugo,0611111111,blanc.hugo@toto.com,Inconnu,B A
Mme,Meunier,Amandine,0611111111,meunier.amandine@toto.com,Sans Emploi,B A
M.,Perez,Quentin,0611111111,perez.quentin@toto.com,Sous contrat,B A
Mme,Fournier,Marion,0611111111,fournier.marion@toto.com,Sans Emploi,B A
M.,Girard,Bastien,0611111111,girard.bastien@toto.com,Inconnu,B A
Mme,Garnier,Justine,0611111111,garnier.justine@toto.com,Sans Emploi,B A
M.,Chevalier,Yanis,0611111111,chevalier.yanis@toto.com,Sous contrat,B A
Mme,Lambert,Emma,0611111111,lambert.emma@toto.com,Inconnu,B A
M.,Bonnet,Noah,0611111111,bonnet.noah@toto.com,Sans Emploi,B A
Mme,Dupuis,Céline,0611111111,dupuis.céline@toto.com,Sous contrat,B A
M.,Bertrand,Alexis,0611111111,bertrand.alexis@toto.com,Sans Emploi,B A
Mme,Perrin,Isabelle,0611111111,perrin.isabelle@toto.com,Inconnu,B A
M.,Rolland,Léo,0611111111,rolland.léo@toto.com,Sous contrat,B A
Mme,Leclerc,Anaïs,0611111111,leclerc.anaïs@toto.com,Sans Emploi,B A
M.,Gaillard,Nathan,0611111111,gaillard.nathan@toto.com,Inconnu,B A
